"Code","LastDate"
"1101.TW","2020-04-21"
"1102.TW","2020-04-21"
"1103.TW","2020-04-21"
"1104.TW","2020-04-21"
"1108.TW","2020-04-21"
"1109.TW","2020-04-21"
"1110.TW","2020-04-21"
"1201.TW","2020-04-21"
"1203.TW","2020-04-21"
"1210.TW","2020-04-21"
"1213.TW","2020-04-21"
"1215.TW","2020-04-21"
"1216.TW","2020-04-21"
"1217.TW","2020-04-21"
"1218.TW","2020-04-21"
"1219.TW","2020-04-21"
"1220.TW","2020-04-21"
"1225.TW","2020-04-21"
"1227.TW","2020-04-21"
"1229.TW","2020-04-21"
"1231.TW","2020-04-21"
"1232.TW","2020-04-21"
"1233.TW","2020-04-21"
"1234.TW","2020-04-21"
"1235.TW","2020-04-21"
"1236.TW","2020-04-21"
"1256.TW","2020-04-21"
"1301.TW","2020-04-21"
"1303.TW","2020-04-21"
"1304.TW","2020-04-21"
"1305.TW","2020-04-21"
"1307.TW","2020-04-21"
"1308.TW","2020-04-21"
"1309.TW","2020-04-21"
"1310.TW","2020-04-21"
"1312.TW","2020-04-21"
"1313.TW","2020-04-21"
"1314.TW","2020-04-21"
"1315.TW","2020-04-21"
"1316.TW","2020-04-21"
"1319.TW","2020-04-21"
"1321.TW","2020-04-21"
"1323.TW","2020-04-21"
"1324.TW","2020-04-21"
"1325.TW","2020-04-21"
"1326.TW","2020-04-21"
"1337.TW","2020-04-21"
"1338.TW","2020-04-21"
"1339.TW","2020-04-21"
"1340.TW","2020-04-21"
"1341.TW","2020-04-21"
"1402.TW","2020-04-21"
"1409.TW","2020-04-21"
"1410.TW","2020-04-21"
"1413.TW","2020-04-21"
"1414.TW","2020-04-21"
"1416.TW","2020-04-21"
"1417.TW","2020-04-21"
"1418.TW","2020-04-21"
"1419.TW","2020-04-21"
"1423.TW","2020-04-21"
"1432.TW","2020-04-21"
"1434.TW","2020-04-21"
"1435.TW","2020-04-21"
"1436.TW","2020-04-21"
"1437.TW","2020-04-21"
"1438.TW","2020-04-21"
"1439.TW","2020-04-21"
"1440.TW","2020-04-21"
"1441.TW","2020-04-21"
"1442.TW","2020-04-21"
"1443.TW","2020-04-21"
"1444.TW","2020-04-21"
"1445.TW","2020-04-21"
"1446.TW","2020-04-21"
"1447.TW","2020-04-21"
"1449.TW","2020-04-21"
"1451.TW","2020-04-21"
"1452.TW","2020-04-21"
"1453.TW","2020-04-21"
"1454.TW","2020-04-21"
"1455.TW","2020-04-21"
"1456.TW","2020-04-21"
"1457.TW","2020-04-21"
"1459.TW","2020-04-21"
"1460.TW","2020-04-21"
"1463.TW","2020-04-21"
"1464.TW","2020-04-21"
"1465.TW","2020-04-21"
"1466.TW","2020-04-21"
"1467.TW","2020-04-21"
"1468.TW","2020-04-21"
"1470.TW","2020-04-21"
"1471.TW","2020-04-21"
"1472.TW","2020-04-21"
"1473.TW","2020-04-21"
"1474.TW","2020-04-21"
"1475.TW","2020-04-21"
"1476.TW","2020-04-21"
"1477.TW","2020-04-21"
"1503.TW","2020-04-21"
"1504.TW","2020-04-21"
"1506.TW","2020-04-21"
"1507.TW","2020-04-21"
"1512.TW","2020-04-21"
"1513.TW","2020-04-21"
"1514.TW","2020-04-21"
"1515.TW","2020-04-21"
"1516.TW","2020-04-21"
"1517.TW","2020-04-21"
"1519.TW","2020-04-21"
"1521.TW","2020-04-21"
"1522.TW","2020-04-21"
"1524.TW","2020-04-21"
"1525.TW","2020-04-21"
"1526.TW","2020-04-21"
"1527.TW","2020-04-21"
"1528.TW","2020-04-21"
"1529.TW","2020-04-21"
"1530.TW","2020-04-21"
"1531.TW","2020-04-21"
"1532.TW","2020-04-21"
"1533.TW","2020-04-21"
"1535.TW","2020-04-21"
"1536.TW","2020-04-21"
"1537.TW","2020-04-21"
"1538.TW","2020-04-21"
"1539.TW","2020-04-21"
"1540.TW","2020-04-21"
"1541.TW","2020-04-21"
"1558.TW","2020-04-21"
"1560.TW","2020-04-21"
"1568.TW","2020-04-21"
"1582.TW","2020-04-21"
"1583.TW","2020-04-21"
"1587.TW","2020-04-21"
"1589.TW","2020-04-21"
"1590.TW","2020-04-21"
"1592.TW","2020-04-21"
"1598.TW","2020-04-21"
"1603.TW","2020-04-21"
"1604.TW","2020-04-21"
"1605.TW","2020-04-21"
"1608.TW","2020-04-21"
"1609.TW","2020-04-21"
"1611.TW","2020-04-21"
"1612.TW","2020-04-21"
"1614.TW","2020-04-21"
"1615.TW","2020-04-21"
"1616.TW","2020-04-21"
"1617.TW","2020-04-21"
"1618.TW","2020-04-21"
"1626.TW","2020-04-21"
"1701.TW","2020-04-21"
"1702.TW","2020-04-21"
"1707.TW","2020-04-21"
"1708.TW","2020-04-21"
"1709.TW","2020-04-21"
"1710.TW","2020-04-21"
"1711.TW","2020-04-21"
"1712.TW","2020-04-21"
"1713.TW","2020-04-21"
"1714.TW","2020-04-21"
"1717.TW","2020-04-21"
"1718.TW","2020-04-21"
"1720.TW","2020-04-21"
"1721.TW","2020-04-21"
"1722.TW","2020-04-21"
"1723.TW","2020-04-21"
"1724.TW","2020-04-21"
"1725.TW","2020-04-21"
"1726.TW","2020-04-21"
"1727.TW","2020-04-21"
"1730.TW","2020-04-21"
"1731.TW","2020-04-21"
"1732.TW","2020-04-21"
"1733.TW","2020-04-21"
"1734.TW","2020-04-21"
"1735.TW","2020-04-21"
"1736.TW","2020-04-21"
"1737.TW","2020-04-21"
"1760.TW","2020-04-21"
"1762.TW","2020-04-21"
"1773.TW","2020-04-21"
"1776.TW","2020-04-21"
"1783.TW","2020-04-21"
"1786.TW","2020-04-21"
"1789.TW","2020-04-21"
"1795.TW","2020-04-21"
"1802.TW","2020-04-21"
"1805.TW","2020-04-21"
"1806.TW","2020-04-21"
"1808.TW","2020-04-21"
"1809.TW","2020-04-21"
"1810.TW","2020-04-21"
"1817.TW","2020-04-21"
"1902.TW","2020-04-21"
"1903.TW","2020-04-21"
"1904.TW","2020-04-21"
"1905.TW","2020-04-21"
"1906.TW","2020-04-21"
"1907.TW","2020-04-21"
"1909.TW","2020-04-21"
"2002.TW","2020-04-21"
"2006.TW","2020-04-21"
"2007.TW","2020-04-21"
"2008.TW","2020-04-21"
"2009.TW","2020-04-21"
"2010.TW","2020-04-21"
"2012.TW","2020-04-21"
"2013.TW","2020-04-21"
"2014.TW","2020-04-21"
"2015.TW","2020-04-21"
"2017.TW","2020-04-21"
"2020.TW","2020-04-21"
"2022.TW","2020-04-21"
"2023.TW","2020-04-21"
"2024.TW","2020-04-21"
"2025.TW","2020-04-21"
"2027.TW","2020-04-21"
"2028.TW","2020-04-21"
"2029.TW","2020-04-21"
"2030.TW","2020-04-21"
"2031.TW","2020-04-21"
"2032.TW","2020-04-21"
"2033.TW","2020-04-21"
"2034.TW","2020-04-21"
"2038.TW","2020-04-21"
"2049.TW","2020-04-21"
"2059.TW","2020-04-21"
"2062.TW","2020-04-21"
"2069.TW","2020-04-21"
"2101.TW","2020-04-21"
"2102.TW","2020-04-21"
"2103.TW","2020-04-21"
"2104.TW","2020-04-21"
"2105.TW","2020-04-21"
"2106.TW","2020-04-21"
"2107.TW","2020-04-21"
"2108.TW","2020-04-21"
"2109.TW","2020-04-21"
"2114.TW","2020-04-21"
"2115.TW","2020-04-21"
"2201.TW","2020-04-21"
"2204.TW","2020-04-21"
"2206.TW","2020-04-21"
"2207.TW","2020-04-21"
"2208.TW","2020-04-21"
"2227.TW","2020-04-21"
"2228.TW","2020-04-21"
"2231.TW","2020-04-21"
"2233.TW","2020-04-21"
"2236.TW","2020-04-21"
"2239.TW","2020-04-21"
"2243.TW","2020-04-21"
"2301.TW","2020-04-21"
"2302.TW","2020-04-21"
"2303.TW","2020-04-21"
"2305.TW","2020-04-21"
"2308.TW","2020-04-21"
"2312.TW","2020-04-21"
"2313.TW","2020-04-21"
"2314.TW","2020-04-21"
"2316.TW","2020-04-21"
"2317.TW","2020-04-21"
"2321.TW","2020-04-21"
"2323.TW","2020-04-21"
"2324.TW","2020-04-21"
"2327.TW","2020-04-21"
"2328.TW","2020-04-21"
"2329.TW","2020-04-21"
"2330.TW","2020-04-21"
"2331.TW","2020-04-21"
"2332.TW","2020-04-21"
"2337.TW","2020-04-21"
"2338.TW","2020-04-21"
"2340.TW","2020-04-21"
"2342.TW","2020-04-21"
"2344.TW","2020-04-21"
"2345.TW","2020-04-21"
"2347.TW","2020-04-21"
"2348.TW","2020-04-21"
"2349.TW","2020-04-21"
"2351.TW","2020-04-21"
"2352.TW","2020-04-21"
"2353.TW","2020-04-21"
"2354.TW","2020-04-21"
"2355.TW","2020-04-21"
"2356.TW","2020-04-21"
"2357.TW","2020-04-21"
"2358.TW","2020-04-21"
"2359.TW","2020-04-21"
"2360.TW","2020-04-21"
"2362.TW","2020-04-21"
"2363.TW","2020-04-21"
"2364.TW","2020-04-21"
"2365.TW","2020-04-21"
"2367.TW","2020-04-21"
"2368.TW","2020-04-21"
"2369.TW","2020-04-21"
"2371.TW","2020-04-21"
"2373.TW","2020-04-21"
"2374.TW","2020-04-21"
"2375.TW","2020-04-21"
"2376.TW","2020-04-21"
"2377.TW","2020-04-21"
"2379.TW","2020-04-21"
"2380.TW","2020-04-21"
"2382.TW","2020-04-21"
"2383.TW","2020-04-21"
"2385.TW","2020-04-21"
"2387.TW","2020-04-21"
"2388.TW","2020-04-21"
"2390.TW","2020-04-21"
"2392.TW","2020-04-21"
"2393.TW","2020-04-21"
"2395.TW","2020-04-21"
"2397.TW","2020-04-21"
"2399.TW","2020-04-21"
"2401.TW","2020-04-21"
"2402.TW","2020-04-21"
"2404.TW","2020-04-21"
"2405.TW","2020-04-21"
"2406.TW","2020-04-21"
"2408.TW","2020-04-21"
"2409.TW","2020-04-21"
"2412.TW","2020-04-21"
"2413.TW","2020-04-21"
"2414.TW","2020-04-21"
"2415.TW","2020-04-21"
"2417.TW","2020-04-21"
"2419.TW","2020-04-21"
"2420.TW","2020-04-21"
"2421.TW","2020-04-21"
"2423.TW","2020-04-21"
"2424.TW","2020-04-21"
"2425.TW","2020-04-21"
"2426.TW","2020-04-21"
"2427.TW","2020-04-21"
"2428.TW","2020-04-21"
"2429.TW","2020-04-21"
"2430.TW","2020-04-21"
"2431.TW","2020-04-21"
"2433.TW","2020-04-21"
"2434.TW","2020-04-21"
"2436.TW","2020-04-21"
"2438.TW","2020-04-21"
"2439.TW","2020-04-21"
"2440.TW","2020-04-21"
"2441.TW","2020-04-21"
"2442.TW","2020-04-21"
"2443.TW","2020-04-21"
"2444.TW","2020-04-21"
"2448.TW","2020-04-21"
"2449.TW","2020-04-21"
"2450.TW","2020-04-21"
"2451.TW","2020-04-21"
"2453.TW","2020-04-21"
"2454.TW","2020-04-21"
"2455.TW","2020-04-21"
"2456.TW","2020-04-21"
"2457.TW","2020-04-21"
"2458.TW","2020-04-21"
"2459.TW","2020-04-21"
"2460.TW","2020-04-21"
"2461.TW","2020-04-21"
"2462.TW","2020-04-21"
"2464.TW","2020-04-21"
"2465.TW","2020-04-21"
"2466.TW","2020-04-21"
